Run	Replicate	Sample
WTDSDT00_rep1	WTDSDT00_rep1	WTDSDT00
WTDSDT00_rep2	WTDSDT00_rep2	WTDSDT00
WTDSDT00_rep3	WTDSDT00_rep3	WTDSDT00
WTDSDT04_rep1	WTDSDT04_rep1	WTDSDT04
WTDSDT04_rep2	WTDSDT04_rep2	WTDSDT04
WTDSDT04_rep3	WTDSDT04_rep3	WTDSDT04
WTDSDT08_rep1	WTDSDT08_rep1	WTDSDT08
WTDSDT08_rep2	WTDSDT08_rep2	WTDSDT08
WTDSDT08_rep3	WTDSDT08_rep3	WTDSDT08
WTDSDT12_rep1	WTDSDT12_rep1	WTDSDT12
WTDSDT12_rep2	WTDSDT12_rep2	WTDSDT12
WTDSDT12_rep3	WTDSDT12_rep3	WTDSDT12
WTDSDT16_rep1	WTDSDT16_rep1	WTDSDT16
WTDSDT16_rep2	WTDSDT16_rep2	WTDSDT16
WTDSDT16_rep3	WTDSDT16_rep3	WTDSDT16
WTDSDT20_rep1	WTDSDT20_rep1	WTDSDT20
WTDSDT20_rep2	WTDSDT20_rep2	WTDSDT20
WTDSDT20_rep3	WTDSDT20_rep3	WTDSDT20
WTDSDT24_rep1	WTDSDT24_rep1	WTDSDT24
WTDSDT24_rep2	WTDSDT24_rep2	WTDSDT24
WTDSDT24_rep3	WTDSDT24_rep3	WTDSDT24
WTDSZT04_rep1	WTDSZT04_rep1	WTDSZT04
WTDSZT04_rep2	WTDSZT04_rep2	WTDSZT04
WTDSZT04_rep3	WTDSZT04_rep3	WTDSZT04
WTDSZT08_rep1	WTDSZT08_rep1	WTDSZT08
WTDSZT08_rep2	WTDSZT08_rep2	WTDSZT08
WTDSZT08_rep3	WTDSZT08_rep3	WTDSZT08
WTDSZT12_rep1	WTDSZT12_rep1	WTDSZT12
WTDSZT12_rep2	WTDSZT12_rep2	WTDSZT12
WTDSZT12_rep3	WTDSZT12_rep3	WTDSZT12
WTDSZT16_rep1	WTDSZT16_rep1	WTDSZT16
WTDSZT16_rep2	WTDSZT16_rep2	WTDSZT16
