Run	Experiment	Replicate	Treatment
SRR5210841	SRX2524297	ZT0_rep1	ZT0
SRR5210842	SRX2524297	ZT0_rep1	ZT0
SRR5210843	SRX2524297	ZT0_rep1	ZT0
SRR5210844	SRX2524298	ZT4_rep1	ZT4
SRR5210845	SRX2524298	ZT4_rep1	ZT4
SRR5210846	SRX2524298	ZT4_rep1	ZT4
SRR5210847	SRX2524299	ZT8_rep1	ZT8
SRR5210848	SRX2524299	ZT8_rep1	ZT8
SRR5210849	SRX2524299	ZT8_rep1	ZT8
SRR5210850	SRX2524300	ZT12_rep1	ZT12
SRR5210851	SRX2524300	ZT12_rep1	ZT12
SRR5210852	SRX2524300	ZT12_rep1	ZT12
SRR5210853	SRX2524301	ZT16_rep1	ZT16
SRR5210854	SRX2524301	ZT16_rep1	ZT16
SRR5210855	SRX2524301	ZT16_rep1	ZT16
SRR5210856	SRX2524302	ZT20_rep1	ZT20
SRR5210857	SRX2524302	ZT20_rep1	ZT20
SRR5210858	SRX2524302	ZT20_rep1	ZT20
SRR5210859	SRX2524303	ZT24_rep1	ZT24
SRR5210860	SRX2524303	ZT24_rep1	ZT24
SRR5210861	SRX2524303	ZT24_rep1	ZT24
SRR5210862	SRX2524304	ZT28_rep1	ZT28
SRR5210863	SRX2524304	ZT28_rep1	ZT28
SRR5210864	SRX2524304	ZT28_rep1	ZT28
SRR5210865	SRX2524305	ZT32_rep1	ZT32
SRR5210866	SRX2524305	ZT32_rep1	ZT32
SRR5210867	SRX2524305	ZT32_rep1	ZT32
SRR5210868	SRX2524306	ZT36_rep1	ZT36
SRR5210869	SRX2524306	ZT36_rep1	ZT36
SRR5210870	SRX2524306	ZT36_rep1	ZT36
SRR5210871	SRX2524307	ZT40_rep1	ZT40
SRR5210872	SRX2524307	ZT40_rep1	ZT40
SRR5210873	SRX2524307	ZT40_rep1	ZT40
SRR5210874	SRX2524308	ZT44_rep1	ZT44
SRR5210875	SRX2524308	ZT44_rep1	ZT44
SRR5210876	SRX2524308	ZT44_rep1	ZT44
SRR5210877	SRX2524309	ZT0_rep2	ZT0
SRR5210878	SRX2524309	ZT0_rep2	ZT0
SRR5210879	SRX2524309	ZT0_rep2	ZT0
SRR5210880	SRX2524310	ZT4_rep2	ZT4
SRR5210881	SRX2524310	ZT4_rep2	ZT4
SRR5210882	SRX2524310	ZT4_rep2	ZT4
SRR5210883	SRX2524311	ZT8_rep2	ZT8
SRR5210884	SRX2524311	ZT8_rep2	ZT8
SRR5210885	SRX2524311	ZT8_rep2	ZT8
SRR5210886	SRX2524312	ZT12_rep2	ZT12
SRR5210887	SRX2524312	ZT12_rep2	ZT12
SRR5210888	SRX2524312	ZT12_rep2	ZT12
